year	fsc_catch	comm_catch	total_catch	escape	total_run	ER	age.3_rec	age.4_rec	age.5_rec	by_recruits	RS	cm_fry_yr	cm_fry_lag	pk_2yr	pk_3yr	pk_avg	SST_pine_yr	SST_pine_sp	NPGO_2wint
2003	2033.102564	2726.567783	4759.670347	18000	22759.67035	0.209127385	119.5816464	486.9009615	132.3336538	738.8162618	0.041045348	7214605	6599170	548.7740497	328.1716624	438.472856	0.353696304	0.594317461	-0.559732763
2004	1186.307692	849.1474359	2035.455128	25000	27035.45513	0.075288362	308.370609	992.5024038	1634.492885	2935.365897	0.117414636	6890772	7327717	328.1716624	657.1627969	492.6672296	-0.083237137	0.124801332	0.594530293
2005	520.6442308	221.1925785	741.8368092	6000	6741.836809	0.110034821	198.5004808	2724.154808	1012.533333	3935.188622	0.65586477	6599170	6772081	657.1627969	407.2142707	532.1885338	-0.334159717	-0.355924475	1.458195254
2006	624.7435897	191.4102564	816.1538462	6000	6816.153846	0.119738179	181.6103205	1417.546667	419.3607692	2018.517756	0.336419626	7327717	7100212	407.2142707	653.762543	530.4884068	-0.642618361	-0.878881464	0.743178703
2007	344.3365385	78.66666667	423.0032051	1200	1623.003205	0.260629926	101.2533333	1239.849231	583.775	1924.877564	1.604064637	6772081	7513065	653.762543	435.5747755	544.6686592	-0.589517801	-0.89098871	1.366653502
2008	361.4903846	61.84615385	423.3365385	900	1323.336538	0.319900892	164.0976923	3191.303333	850.071266	4205.472292	4.672746991	7100212	6008814	435.5747755	577.8224288	506.6986022	0.125321269	0.146763697	0.863163312
2009	636.1810897	404.0769231	1040.258013	3500	4540.258013	0.2291187	116.755	1078.139167	917.2741026	2112.168269	0.603476648	7513065	4286847	577.8224288	355.8470816	466.8347552	-0.390050128	-0.471596518	1.48031482
2010	164.974359	66.35897436	231.3333333	2300	2531.333333	0.091387938	145.1341186	532.6107692	715.7215385	1393.466426	0.605854968	6008814	6872727	355.8470816	549.4208599	452.6339707	-0.449197798	-0.608370711	0.350727235
2011	91.53846154	231.7692308	323.3076923	1500	1823.307692	0.177319327	1509.063846	10974.39692	1861.471458	14344.93223	9.563288152	4286847	4204007	549.4208599	432	490.7104299	0.203397775	-0.005727199	-0.25052841
2012	187.6025641	704.2307692	891.8333333	3000	3891.833333	0.229155068	238.5738462	5827.215	1464.125299	7530.332672	2.510110891	6872727	6679176	432	513	472.5	0.663765056	0.197702388	-1.395636442
2013	63.0625	510.2820513	573.3445513	1500	2073.344551	0.276531246	404.6677083	3616.055625	2309.079271	5659.533083	3.773022055	4204007	6850294	513	701	607	1.685334802	1.736474719	-0.196356519
2014	303.7179487	155.2307692	458.9487179	2500	2958.948718	0.15510533	466.0947172	5702.899262	1426.255096	8855.73579	3.542294316	6679176	5184571	701	639	670	1.49386003	1.70601136	-0.86160635
2015	286.3076923	448.3846154	734.6923077	11194	11928.69231	0.061590348	735.0802904	3522.52486	2558.449768	4490.118003	0.401118278	6850294	5285914	639	315	477	0.710058413	1.08445587	-1.907609233
2016	138.8669872	1014.487179	1153.354167	6940	8093.354167	0.142506326	0	8963.687799	1968.571429	10932.25923	1.350769904	5184571	5124114	315	280	297.5	0.86911656	0.643111624	-2.251447404
2017	132.4551282	189.8205128	322.275641	5224	5546.275641	0.058106676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.426800094	1.270595401	-1.757827508
2018	NA	NA	1312.058824	7435	8747.058824	0.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.437352778	1.024346451	-0.837655654
2019	NA	NA	804.8189417	4598	5402.818942	0.148962782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.832187739	0.864199078	-1.4073984
2020	NA	NA	1443.703052	8248	9691.703052	0.148962782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
