year	fsc_catch	comm_catch	total_catch	escape	total_run	ER	age.3_rec	age.4_rec	age.5_rec	by_recruits	RS	cm_fry_yr	cm_fry_lag	pk_2yr	pk_3yr	pk_avg	SST_pine_yr	SST_pine_sp	NPGO_2wint
1972	NA	NA	NA	32500	32500	0	6481.544937	38599.97727	4896.299653	49977.82186	1.537779134	0	0	199.0080226	279.1204321	239.0642273	-0.696351498	-0.791112647	0.798500537
1973	NA	NA	NA	85000	85000	0	0	66288.36454	12527.93821	78816.30275	0.927250621	0	0	279.1204321	234.0968415	256.6086368	-0.906488485	-1.122134152	1.86321135
1974	NA	NA	NA	55000	55000	0	2259.830609	17725.11782	22037.13368	42022.08211	0.764037857	0	0	234.0968415	319.9023766	276.999609	-0.681689399	-1.015897593	1.249270341
1975	0	58508.99208	58508.99208	45000	103508.9921	0.565255162	601.7786914	41367.95271	10831.46417	52801.19557	1.173359902	0	0	319.9023766	244.4852059	282.1937912	-0.335803553	-0.388424475	0.504466636
1976	2090	51543.28408	53633.28408	30000	83633.28408	0.64129114	3479.547424	55962.56488	25051.99212	84494.10443	2.816470148	0	0	244.4852059	297.883815	271.1845104	0.120634803	0.243403482	-0.737188575
1977	3875.282051	39569.21275	43444.4948	30000	73444.4948	0.591528268	4152.061266	57505.70918	11145.23378	72803.00423	2.426766808	0	77550	297.883815	223.2043036	260.5440593	-0.212515882	-0.699714797	-0.749107276
1978	4355.410256	6718.253081	11073.66334	20000	31073.66334	0.356368131	3416.180744	22290.46756	25101.22789	50807.8762	2.54039381	0	2075000	223.2043036	431.0079915	327.1061475	-0.007918907	0.072758321	-0.221840562
1979	2784.025641	46100.60817	48884.63381	18000	66884.63381	0.73087989	619.1796546	35141.71904	23275.25421	59036.15291	3.279786273	77550	2818400	431.0079915	308.7731516	369.8905716	0.328654578	0.240527138	-0.686691381
1980	5688.282051	41438.33267	47126.61472	24000	71126.61472	0.662573566	1255.061394	42671.29939	42783.16456	86709.52535	3.612896889	2075000	2132976	308.7731516	326.2901376	317.5316446	-0.245931057	-0.304230926	-0.092064694
1981	5335	40638.88205	45973.88205	40000	85973.88205	0.534742424	2770.863597	47489.31266	13646.00384	63906.1801	1.597654502	2818400	3083584	326.2901376	261.7616152	294.0258764	0.693785488	0.838537891	0.620750037
1982	2662	11392.881	14054.881	20000	34054.881	0.412712674	427.8316456	30517.42677	17121.12502	48066.38343	2.403319172	2132976	6360749	261.7616152	270.3310462	266.0463307	0.369676721	0.477704558	-0.393901047
1983	5601.897436	31314.46469	36916.36212	25000	61916.36212	0.596229508	0	48153.16412	15919.86093	64073.02505	2.562921002	3083584	8360861	270.3310462	212.1579015	241.2444738	-0.25443369	-0.186865335	-0.732847288
1984	7082.974359	16634.44284	23717.4172	45000	68717.4172	0.345144189	3566.901046	58562.34558	3648.205816	65777.45244	1.461721165	6360749	6913385	212.1579015	364.3859048	288.2719031	-0.101556978	-0.107456733	0.429174729
1985	8197.051282	32931.08923	41128.14051	50000	91128.14051	0.451322065	2274.265848	16720.94332	7064.859614	26060.06878	0.521201376	8360861	7426137	364.3859048	303.0355966	333.7107507	0.489127954	0.593564773	1.323636763
1986	4927.487179	19509.05259	24436.53977	19975	44411.53977	0.55022951	9424.53169	28063.19236	8391.173638	45878.89768	2.296815904	6913385	7449984	303.0355966	486.0193237	394.5274601	0.350634603	0.384645603	0.612240617
1987	5753.230769	33734.71983	39487.9506	30780	70267.9506	0.561962463	7653.597915	66290.27174	17355.92705	91299.79671	2.966205221	7426137	6745338	486.0193237	277.2341688	381.6267462	0.031470081	-0.18460727	-0.201546121
1988	7824.961538	39215.79405	47040.75559	30000	77040.75559	0.61059572	9440.070342	48596.59575	7948.585661	65985.25175	2.199508392	7449984	7444203	277.2341688	398.5924679	337.9133184	0.336019019	0.304720687	-0.498914711
1989	5914.897436	8878.783392	14793.68083	15000	29793.68083	0.496537535	867.7963527	19711.21986	15054.92808	35633.94429	2.375596286	6745338	7345979	398.5924679	453.748659	426.1705635	0.032333496	-0.000198668	-1.09491887
1990	4472.410256	18701.73183	23174.14209	20000	43174.14209	0.536759759	1860.184014	37333.81131	20577.08711	59771.08244	2.988554122	7444203	6772932	453.748659	434.867605	444.308132	0.73209155	1.015527138	-1.901992588
1991	10152.12179	21469.39392	31621.51572	52500	84121.51572	0.375902829	3523.26033	51027.8816	14723.20501	69274.34695	1.31951137	7345979	7191671	434.867605	424.2513281	429.5594666	0.342390319	0.71055402	-1.211598783
1992	7598.495192	18221.82397	25820.31916	41000	66820.31916	0.386414185	4815.59489	36511.19122	3913.500254	45240.28636	1.103421619	6772932	7518138	424.2513281	401.9695761	413.1104521	0.406785745	0.54883359	-1.039208546
1993	5188.533654	9518.237526	14706.77118	15000	29706.77118	0.495064613	3445.628161	14784.33429	9666.056846	27896.0193	1.85973462	7191671	6692459	401.9695761	443.5715796	422.7705779	0.60316994	0.627077008	-0.972836612
1994	958.8830128	30306.88836	31265.77137	25000	56265.77137	0.555680134	10870.83404	23970.27342	4302.899523	39144.00698	1.565760279	7518138	6788026	443.5715796	501.0739726	472.3227761	0.466851581	0.805930364	-0.657690616
1995	5450.55609	16453.54288	21904.09897	55000	76904.09897	0.284823556	2262.11872	15946.03941	4778.733482	22986.89161	0.417943484	6692459	6626678	501.0739726	381.8192568	441.4466147	0.986166059	0.614366589	0.544553283
1996	3769.11859	6256.88239	10026.00098	45000	55026.00098	0.18220479	6834.016889	11850.49395	8612.871186	27297.38202	0.606608489	6788026	6613988	381.8192568	401.8196412	391.819449	0.811593707	1.055150794	1.515780517
1997	5862.700321	4575.634986	10438.33531	20000	30438.33531	0.342933843	1118.352875	21358.5416	14180.77411	36657.66859	1.832883429	6626678	6521216	401.8196412	382.8857158	392.3526785	-0.340698166	-0.447781167	1.885861292
1998	2273.49359	3852.095437	6125.589027	30000	36125.58903	0.169563713	2015.644792	35166.04942	7548.433381	44730.12759	1.491004253	6613988	6356877	382.8857158	466.3283391	424.6070275	-0.229776989	-0.186112647	2.080693375
1999	1182.996795	899.9590253	2082.95582	25000	27082.95582	0.07691021	3318.684659	13495.68392	7233.82658	24048.19516	0.961927807	6521216	6466673	466.3283391	361.2705607	413.7994499	-0.266462455	-0.183406863	1.47359396
2000	2082.375	777.4994633	2859.874463	15000	17859.87446	0.160128475	1486.812636	17938.73177	2543.327659	21968.87206	1.464591471	6356877	6860828	361.2705607	594.4661709	477.8683658	-0.19963917	-0.303558883	0.958507189
2001	1736.464744	452.9843508	2189.449094	30000	32189.44909	0.068017601	1692.911058	3350.733264	1315.398111	6359.042433	0.211968081	6466673	7214605	594.4661709	344.0283572	469.2472641	0.229127954	0.447328213	0.209460249
2002	1924.282051	1074.456279	2998.738331	50000	52998.73833	0.056581315	484.4433635	5261.592443	600.5111859	6346.546992	0.12693094	6860828	6890772	344.0283572	548.7740497	446.4012035	0.1330647	0.283484127	-1.388312385
