brood_year,spawners,recruits
1972,32500,49977.82186
1973,85000,78816.30275
1974,55000,42022.08211
1975,45000,52801.19557
1976,30000,84494.10443
1977,30000,72803.00423
1978,20000,50807.8762
1979,18000,59036.15291
1980,24000,86709.52535
1981,40000,63906.1801
1982,20000,48066.38343
1983,25000,64073.02505
1984,45000,65777.45244
1985,50000,26060.06878
1986,19975,45878.89768
1987,30780,91299.79671
1988,30000,65985.25175
1989,15000,35633.94429
1990,20000,59771.08244
1991,52500,69274.34695
1992,41000,45240.28636
1993,15000,27896.0193
1994,25000,39144.00698
1995,55000,22986.89161
1996,45000,27297.38202
1997,20000,36657.66859
1998,30000,44730.12759
1999,25000,24048.19516
2000,15000,21968.87206
2001,30000,6359.042433
2002,50000,6346.546992
2003,18000,738.8162618
2004,25000,2935.365897
2005,6000,3935.188622
2006,6000,2018.517756
2007,1200,1924.877564
2008,900,4205.472292
2009,3500,2112.168269
2010,2300,1393.466426
2011,1500,14344.93223
2012,3000,7530.332672
2013,1500,5659.533083
2014,2500,8855.73579
2015,11194,4490.118003
2016,6940,10932.25923
